Commodity,Year,Attribute,Value
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1989,"Total loss, all levels-Percent",46.91562582
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1990,"Total loss, all levels-Percent",47.07435019
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1991,"Total loss, all levels-Percent",47.19055692
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1992,"Total loss, all levels-Percent",47.19320053
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1993,"Total loss, all levels-Percent",47.07686231
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1994,"Total loss, all levels-Percent",47.26577915
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1995,"Total loss, all levels-Percent",47.26988274
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1996,"Total loss, all levels-Percent",47.22576292
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1997,"Total loss, all levels-Percent",47.26424875
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1998,"Total loss, all levels-Percent",47.27271446
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1999,"Total loss, all levels-Percent",47.24785869
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2000,"Total loss, all levels-Percent",47.26700266
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2001,"Total loss, all levels-Percent",47.25488423
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2002,"Total loss, all levels-Percent",47.27479933
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2003,"Total loss, all levels-Percent",47.17534082
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2004,"Total loss, all levels-Percent",47.17091627
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2005,"Total loss, all levels-Percent",47.24015884
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2006,"Total loss, all levels-Percent",47.23533454
