Commodity,Year,Attribute,Value
Grains: Per capita availability adjusted for loss,2012,Consumer weight-Lbs/year,153.1887771
Grains: Per capita availability adjusted for loss,2013,Consumer weight-Lbs/year,153.7357854
Grains: Per capita availability adjusted for loss,2014,Consumer weight-Lbs/year,153.635808
Grains: Per capita availability adjusted for loss,2015,Consumer weight-Lbs/year,152.4795074
Grains: Per capita availability adjusted for loss,2016,Consumer weight-Lbs/year,151.2552439
Grains: Per capita availability adjusted for loss,2017,Consumer weight-Lbs/year,151.7662052
Grains: Per capita availability adjusted for loss,2018,Consumer weight-Lbs/year,152.2817711
Grains: Per capita availability adjusted for loss,2019,Consumer weight-Lbs/year,153.0670417
Grains: Per capita availability adjusted for loss,2020,Consumer weight-Lbs/year,152.9418341
Grains: Per capita availability adjusted for loss,2021,Consumer weight-Lbs/year,149.3378918
Grains: Per capita availability adjusted for loss,2022,Consumer weight-Lbs/year,152.864919
Grains: Per capita availability adjusted for loss,1970,"Total loss, all levels-Percent",30.66586842
Grains: Per capita availability adjusted for loss,1971,"Total loss, all levels-Percent",30.60870385
Grains: Per capita availability adjusted for loss,1972,"Total loss, all levels-Percent",30.61394968
Grains: Per capita availability adjusted for loss,1973,"Total loss, all levels-Percent",30.63103217
Grains: Per capita availability adjusted for loss,1974,"Total loss, all levels-Percent",30.65228309
Grains: Per capita availability adjusted for loss,1975,"Total loss, all levels-Percent",30.56786083
Grains: Per capita availability adjusted for loss,1976,"Total loss, all levels-Percent",30.55810183
Grains: Per capita availability adjusted for loss,1977,"Total loss, all levels-Percent",30.42623369
Grains: Per capita availability adjusted for loss,1978,"Total loss, all levels-Percent",30.70500281
Grains: Per capita availability adjusted for loss,1979,"Total loss, all levels-Percent",30.69035215
Grains: Per capita availability adjusted for loss,1980,"Total loss, all levels-Percent",30.79333134
Grains: Per capita availability adjusted for loss,1981,"Total loss, all levels-Percent",30.85884079
Grains: Per capita availability adjusted for loss,1982,"Total loss, all levels-Percent",30.70663879
Grains: Per capita availability adjusted for loss,1983,"Total loss, all levels-Percent",30.60006025
Grains: Per capita availability adjusted for loss,1984,"Total loss, all levels-Percent",30.61528216
Grains: Per capita availability adjusted for loss,1985,"Total loss, all levels-Percent",30.7515488
Grains: Per capita availability adjusted for loss,1986,"Total loss, all levels-Percent",30.83434111
Grains: Per capita availability adjusted for loss,1987,"Total loss, all levels-Percent",30.84749965
Grains: Per capita availability adjusted for loss,1988,"Total loss, all levels-Percent",30.96988529
Grains: Per capita availability adjusted for loss,1989,"Total loss, all levels-Percent",31.04466461
Grains: Per capita availability adjusted for loss,1990,"Total loss, all levels-Percent",31.01904565
Grains: Per capita availability adjusted for loss,1991,"Total loss, all levels-Percent",31.03573634
Grains: Per capita availability adjusted for loss,1992,"Total loss, all levels-Percent",31.0033213
Grains: Per capita availability adjusted for loss,1993,"Total loss, all levels-Percent",30.97941649
Grains: Per capita availability adjusted for loss,1994,"Total loss, all levels-Percent",30.95801913
Grains: Per capita availability adjusted for loss,1995,"Total loss, all levels-Percent",31.00861966
Grains: Per capita availability adjusted for loss,1996,"Total loss, all levels-Percent",30.94605323
Grains: Per capita availability adjusted for loss,1997,"Total loss, all levels-Percent",30.90544898
Grains: Per capita availability adjusted for loss,1998,"Total loss, all levels-Percent",30.96646944
Grains: Per capita availability adjusted for loss,1999,"Total loss, all levels-Percent",30.95703241
Grains: Per capita availability adjusted for loss,2000,"Total loss, all levels-Percent",30.94825124
Grains: Per capita availability adjusted for loss,2001,"Total loss, all levels-Percent",30.99961215
Grains: Per capita availability adjusted for loss,2002,"Total loss, all levels-Percent",31.0084887
Grains: Per capita availability adjusted for loss,2003,"Total loss, all levels-Percent",31.02761828
Grains: Per capita availability adjusted for loss,2004,"Total loss, all levels-Percent",31.03703107
Grains: Per capita availability adjusted for loss,2005,"Total loss, all levels-Percent",31.03400483
Grains: Per capita availability adjusted for loss,2006,"Total loss, all levels-Percent",31.0702285
Grains: Per capita availability adjusted for loss,2007,"Total loss, all levels-Percent",31.05022765
Grains: Per capita availability adjusted for loss,2008,"Total loss, all levels-Percent",31.0662391
Grains: Per capita availability adjusted for loss,2009,"Total loss, all levels-Percent",31.07744538
Grains: Per capita availability adjusted for loss,2010,"Total loss, all levels-Percent",31.07581121
Grains: Per capita availability adjusted for loss,2011,"Total loss, all levels-Percent",29.91072641
Grains: Per capita availability adjusted for loss,2012,"Total loss, all levels-Percent",29.90132299
Grains: Per capita availability adjusted for loss,2013,"Total loss, all levels-Percent",29.89619857
Grains: Per capita availability adjusted for loss,2014,"Total loss, all levels-Percent",29.90631004
Grains: Per capita availability adjusted for loss,2015,"Total loss, all levels-Percent",29.90962677
Grains: Per capita availability adjusted for loss,2016,"Total loss, all levels-Percent",29.91722755
Grains: Per capita availability adjusted for loss,2017,"Total loss, all levels-Percent",29.91936066
Grains: Per capita availability adjusted for loss,2018,"Total loss, all levels-Percent",29.9186457
Grains: Per capita availability adjusted for loss,2019,"Total loss, all levels-Percent",29.91826714
Grains: Per capita availability adjusted for loss,2020,"Total loss, all levels-Percent",29.9101597
Grains: Per capita availability adjusted for loss,2021,"Total loss, all levels-Percent",29.87580373
Grains: Per capita availability adjusted for loss,2022,"Total loss, all levels-Percent",29.87313768
Grains: Per capita availability adjusted for loss,1970,Per capita availability adjusted for loss-Lbs/year,94.78275317
Grains: Per capita availability adjusted for loss,1971,Per capita availability adjusted for loss-Lbs/year,93.44800122
Grains: Per capita availability adjusted for loss,1972,Per capita availability adjusted for loss-Lbs/year,92.39131684
Grains: Per capita availability adjusted for loss,1973,Per capita availability adjusted for loss-Lbs/year,95.03048487
Grains: Per capita availability adjusted for loss,1974,Per capita availability adjusted for loss-Lbs/year,94.05218316
Grains: Per capita availability adjusted for loss,1975,Per capita availability adjusted for loss-Lbs/year,96.31511186
Grains: Per capita availability adjusted for loss,1976,Per capita availability adjusted for loss-Lbs/year,99.6956983
Grains: Per capita availability adjusted for loss,1977,Per capita availability adjusted for loss-Lbs/year,96.79612714
Grains: Per capita availability adjusted for loss,1978,Per capita availability adjusted for loss-Lbs/year,98.99451623
Grains: Per capita availability adjusted for loss,1979,Per capita availability adjusted for loss-Lbs/year,99.98747332
Grains: Per capita availability adjusted for loss,1980,Per capita availability adjusted for loss-Lbs/year,101.3390281
Grains: Per capita availability adjusted for loss,1981,Per capita availability adjusted for loss-Lbs/year,101.3810102
Grains: Per capita availability adjusted for loss,1982,Per capita availability adjusted for loss-Lbs/year,101.2294647
Grains: Per capita availability adjusted for loss,1983,Per capita availability adjusted for loss-Lbs/year,101.6704535
Grains: Per capita availability adjusted for loss,1984,Per capita availability adjusted for loss-Lbs/year,103.8680004
Grains: Per capita availability adjusted for loss,1985,Per capita availability adjusted for loss-Lbs/year,110.2152145
Grains: Per capita availability adjusted for loss,1986,Per capita availability adjusted for loss-Lbs/year,113.4637018
Grains: Per capita availability adjusted for loss,1987,Per capita availability adjusted for loss-Lbs/year,118.6677025
Grains: Per capita availability adjusted for loss,1988,Per capita availability adjusted for loss-Lbs/year,121.5487912
Grains: Per capita availability adjusted for loss,1989,Per capita availability adjusted for loss-Lbs/year,120.4120075
Grains: Per capita availability adjusted for loss,1990,Per capita availability adjusted for loss-Lbs/year,124.8902878
Grains: Per capita availability adjusted for loss,1991,Per capita availability adjusted for loss-Lbs/year,125.4259561
Grains: Per capita availability adjusted for loss,1992,Per capita availability adjusted for loss-Lbs/year,127.2285671
Grains: Per capita availability adjusted for loss,1993,Per capita availability adjusted for loss-Lbs/year,130.925142
Grains: Per capita availability adjusted for loss,1994,Per capita availability adjusted for loss-Lbs/year,131.9443986
Grains: Per capita availability adjusted for loss,1995,Per capita availability adjusted for loss-Lbs/year,130.8315165
Grains: Per capita availability adjusted for loss,1996,Per capita availability adjusted for loss-Lbs/year,135.9152728
Grains: Per capita availability adjusted for loss,1997,Per capita availability adjusted for loss-Lbs/year,136.1500028
Grains: Per capita availability adjusted for loss,1998,Per capita availability adjusted for loss-Lbs/year,134.4596193
Grains: Per capita availability adjusted for loss,1999,Per capita availability adjusted for loss-Lbs/year,135.5233275
Grains: Per capita availability adjusted for loss,2000,Per capita availability adjusted for loss-Lbs/year,137.733912
Grains: Per capita availability adjusted for loss,2001,Per capita availability adjusted for loss-Lbs/year,134.7025829
Grains: Per capita availability adjusted for loss,2002,Per capita availability adjusted for loss-Lbs/year,132.0160525
Grains: Per capita availability adjusted for loss,2003,Per capita availability adjusted for loss-Lbs/year,132.6706137
Grains: Per capita availability adjusted for loss,2004,Per capita availability adjusted for loss-Lbs/year,131.5276965
Grains: Per capita availability adjusted for loss,2005,Per capita availability adjusted for loss-Lbs/year,131.6786959
Grains: Per capita availability adjusted for loss,2006,Per capita availability adjusted for loss-Lbs/year,133.6295796
Grains: Per capita availability adjusted for loss,2007,Per capita availability adjusted for loss-Lbs/year,135.7380057
Grains: Per capita availability adjusted for loss,2008,Per capita availability adjusted for loss-Lbs/year,135.0729384
Grains: Per capita availability adjusted for loss,2009,Per capita availability adjusted for loss-Lbs/year,133.6628366
Grains: Per capita availability adjusted for loss,2010,Per capita availability adjusted for loss-Lbs/year,133.8482079
Grains: Per capita availability adjusted for loss,2011,Per capita availability adjusted for loss-Lbs/year,120.9306982
Grains: Per capita availability adjusted for loss,2012,Per capita availability adjusted for loss-Lbs/year,122.0264842
Grains: Per capita availability adjusted for loss,2013,Per capita availability adjusted for loss-Lbs/year,122.4711701
Grains: Per capita availability adjusted for loss,2014,Per capita availability adjusted for loss-Lbs/year,122.3738715
Grains: Per capita availability adjusted for loss,2015,Per capita availability adjusted for loss-Lbs/year,121.4471089
Grains: Per capita availability adjusted for loss,2016,Per capita availability adjusted for loss-Lbs/year,120.4589413
Grains: Per capita availability adjusted for loss,2017,Per capita availability adjusted for loss-Lbs/year,120.8621896
Grains: Per capita availability adjusted for loss,2018,Per capita availability adjusted for loss-Lbs/year,121.2740086
Grains: Per capita availability adjusted for loss,2019,Per capita availability adjusted for loss-Lbs/year,121.90004
Grains: Per capita availability adjusted for loss,2020,Per capita availability adjusted for loss-Lbs/year,121.8144173
Grains: Per capita availability adjusted for loss,2021,Per capita availability adjusted for loss-Lbs/year,119.0022686
Grains: Per capita availability adjusted for loss,2022,Per capita availability adjusted for loss-Lbs/year,121.8174673
Grains: Per capita availability adjusted for loss,1970,Per capita availability adjusted for loss-Oz/day,4.154860413
Grains: Per capita availability adjusted for loss,1971,Per capita availability adjusted for loss-Oz/day,4.096350739
Grains: Per capita availability adjusted for loss,1972,Per capita availability adjusted for loss-Oz/day,4.050030327
Grains: Per capita availability adjusted for loss,1973,Per capita availability adjusted for loss-Oz/day,4.165719885
Grains: Per capita availability adjusted for loss,1974,Per capita availability adjusted for loss-Oz/day,4.122835426
Grains: Per capita availability adjusted for loss,1975,Per capita availability adjusted for loss-Oz/day,4.222032301
Grains: Per capita availability adjusted for loss,1976,Per capita availability adjusted for loss-Oz/day,4.370222391
Grains: Per capita availability adjusted for loss,1977,Per capita availability adjusted for loss-Oz/day,4.243117902
Grains: Per capita availability adjusted for loss,1978,Per capita availability adjusted for loss-Oz/day,4.339485643
Grains: Per capita availability adjusted for loss,1979,Per capita availability adjusted for loss-Oz/day,4.383012529
Grains: Per capita availability adjusted for loss,1980,Per capita availability adjusted for loss-Oz/day,4.442258768
Grains: Per capita availability adjusted for loss,1981,Per capita availability adjusted for loss-Oz/day,4.444099079
Grains: Per capita availability adjusted for loss,1982,Per capita availability adjusted for loss-Oz/day,4.437455988
Grains: Per capita availability adjusted for loss,1983,Per capita availability adjusted for loss-Oz/day,4.456787004
Grains: Per capita availability adjusted for loss,1984,Per capita availability adjusted for loss-Oz/day,4.553117827
Grains: Per capita availability adjusted for loss,1985,Per capita availability adjusted for loss-Oz/day,4.831351867
